,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position
2019-09-01 01:00:00+01:00,0.2590999901294708,,,0,1
2019-09-01 02:00:00+01:00,0.25839999318122864,,,0,1
2019-09-01 03:00:00+01:00,0.25780001282691956,,,0,1
2019-09-01 04:00:00+01:00,0.25850000977516174,,,0,1
2019-09-01 05:00:00+01:00,0.2581000030040741,,,0,1
2019-09-01 06:00:00+01:00,0.2581000030040741,,,0,1
2019-09-01 07:00:00+01:00,0.25850000977516174,,,0,1
2019-09-01 08:00:00+01:00,0.2581999897956848,,,0,1
2019-09-01 09:00:00+01:00,0.2567000091075897,,,0,1
2019-09-01 10:00:00+01:00,0.2563999891281128,,,0,1
2019-09-01 11:00:00+01:00,0.2558000087738037,,,0,1
2019-09-01 12:00:00+01:00,0.2551000118255615,,,0,1
2019-09-01 13:00:00+01:00,0.2556999921798706,,,0,1
2019-09-01 14:00:00+01:00,0.2549000084400177,,,0,1
2019-09-01 15:00:00+01:00,0.2549999952316284,,,0,1
2019-09-01 16:00:00+01:00,0.25609999895095825,,,0,1
2019-09-01 17:00:00+01:00,0.2542000114917755,,,0,1
2019-09-01 18:00:00+01:00,0.2542000114917755,,,0,1
2019-09-01 19:00:00+01:00,0.25519999861717224,,,0,1
2019-09-01 20:00:00+01:00,0.25589999556541443,,,0,1
2019-09-01 21:00:00+01:00,0.2563999891281128,,,0,1
2019-09-01 22:00:00+01:00,0.25679999589920044,,,0,1
2019-09-01 23:00:00+01:00,0.2572999894618988,,,0,1
2019-09-02 00:00:00+01:00,0.25690001249313354,,,0,1
2019-09-02 01:00:00+01:00,0.2558000087738037,4.0,68.0,0,1
2019-09-02 02:00:00+01:00,0.2554999887943268,12.0,64.0,0,1
2019-09-02 03:00:00+01:00,0.2558000087738037,8.0,60.0,0,1
2019-09-02 04:00:00+01:00,0.2554999887943268,4.0,56.00000000000001,0,1
2019-09-02 05:00:00+01:00,0.2554999887943268,12.0,52.0,0,1
2019-09-02 06:00:00+01:00,0.25529998540878296,8.0,48.0,0,1
2019-09-02 07:00:00+01:00,0.2549999952316284,4.0,44.0,0,1
2019-09-02 08:00:00+01:00,0.25429999828338623,4.0,40.0,0,1
2019-09-02 09:00:00+01:00,0.25440001487731934,60.0,36.0,0,1
2019-09-02 10:00:00+01:00,0.2549999952316284,56.00000000000001,32.0,0,1
2019-09-02 11:00:00+01:00,0.25459998846054077,52.0,28.000000000000004,0,1
2019-09-02 12:00:00+01:00,0.2556999921798706,48.0,24.0,0,1
2019-09-02 13:00:00+01:00,0.2549999952316284,44.0,20.0,0,1
2019-09-02 14:00:00+01:00,0.257999986410141,100.0,16.0,1,1
2019-09-02 15:00:00+01:00,0.25760000944137573,96.0,12.0,0,1
2019-09-02 16:00:00+01:00,0.25699999928474426,92.0,8.0,0,1
2019-09-02 17:00:00+01:00,0.25780001282691956,88.0,4.0,0,1
2019-09-02 18:00:00+01:00,0.25870001316070557,100.0,4.0,0,1
2019-09-02 19:00:00+01:00,0.260699987411499,100.0,56.00000000000001,0,1
2019-09-02 20:00:00+01:00,0.26089999079704285,100.0,52.0,0,1
2019-09-02 21:00:00+01:00,0.2628999948501587,100.0,48.0,0,1
2019-09-02 22:00:00+01:00,0.2630999982357025,100.0,44.0,0,1
2019-09-02 23:00:00+01:00,0.2624000012874603,96.0,40.0,0,1
2019-09-03 00:00:00+01:00,0.26159998774528503,92.0,36.0,0,1
2019-09-03 01:00:00+01:00,0.26080000400543213,88.0,32.0,0,1
2019-09-03 02:00:00+01:00,0.2606000006198883,84.0,28.000000000000004,0,1
2019-09-03 03:00:00+01:00,0.26080000400543213,80.0,24.0,0,1
2019-09-03 04:00:00+01:00,0.2615000009536743,76.0,20.0,0,1
2019-09-03 05:00:00+01:00,0.2614000141620636,72.0,16.0,0,1
2019-09-03 06:00:00+01:00,0.2612999975681305,68.0,12.0,0,1
2019-09-03 07:00:00+01:00,0.26100000739097595,64.0,8.0,0,1
2019-09-03 08:00:00+01:00,0.260699987411499,60.0,4.0,0,1
2019-09-03 09:00:00+01:00,0.2603999972343445,56.00000000000001,4.0,0,1
2019-09-03 10:00:00+01:00,0.258899986743927,52.0,8.0,0,1
2019-09-03 11:00:00+01:00,0.26010000705718994,48.0,4.0,0,1
2019-09-03 12:00:00+01:00,0.26010000705718994,44.0,8.0,0,1
2019-09-03 13:00:00+01:00,0.2621000111103058,40.0,4.0,0,1
2019-09-03 14:00:00+01:00,0.2646999955177307,100.0,12.0,0,1
2019-09-03 15:00:00+01:00,0.26350000500679016,96.0,8.0,0,1
2019-09-03 16:00:00+01:00,0.2637999951839447,92.0,4.0,0,1
2019-09-03 17:00:00+01:00,0.2630000114440918,88.0,4.0,0,1
2019-09-03 18:00:00+01:00,0.2619999945163727,84.0,4.0,0,1
2019-09-03 19:00:00+01:00,0.2619999945163727,80.0,64.0,0,1
2019-09-03 20:00:00+01:00,0.2624000012874603,76.0,60.0,0,1
2019-09-03 21:00:00+01:00,0.26339998841285706,72.0,56.00000000000001,0,1
2019-09-03 22:00:00+01:00,0.26409998536109924,68.0,52.0,0,1
2019-09-03 23:00:00+01:00,0.26460000872612,64.0,48.0,0,1
2019-09-04 00:00:00+01:00,0.2632000148296356,60.0,44.0,0,1
2019-09-04 01:00:00+01:00,0.26269999146461487,56.00000000000001,40.0,0,1
2019-09-04 02:00:00+01:00,0.26190000772476196,52.0,36.0,0,1
2019-09-04 03:00:00+01:00,0.26159998774528503,48.0,32.0,0,1
2019-09-04 04:00:00+01:00,0.2623000144958496,44.0,28.000000000000004,0,1
2019-09-04 05:00:00+01:00,0.26089999079704285,40.0,24.0,0,1
2019-09-04 06:00:00+01:00,0.260699987411499,36.0,20.0,0,1
2019-09-04 07:00:00+01:00,0.2606000006198883,32.0,16.0,0,1
2019-09-04 08:00:00+01:00,0.2605000138282776,28.000000000000004,12.0,0,1
2019-09-04 09:00:00+01:00,0.258899986743927,24.0,8.0,0,1
2019-09-04 10:00:00+01:00,0.2597000002861023,20.0,4.0,0,1
2019-09-04 11:00:00+01:00,0.2596000134944916,16.0,92.0,-1,0
2019-09-04 12:00:00+01:00,0.25929999351501465,12.0,88.0,0,0
2019-09-04 13:00:00+01:00,0.25850000977516174,8.0,100.0,0,0
2019-09-04 14:00:00+01:00,0.2587999999523163,4.0,96.0,0,0
2019-09-04 15:00:00+01:00,0.2581999897956848,36.0,100.0,0,0
2019-09-04 16:00:00+01:00,0.25859999656677246,32.0,96.0,0,0
2019-09-04 17:00:00+01:00,0.26019999384880066,28.000000000000004,92.0,0,0
2019-09-04 18:00:00+01:00,0.26019999384880066,24.0,88.0,0,0
2019-09-04 19:00:00+01:00,0.25949999690055847,20.0,84.0,0,0
2019-09-04 20:00:00+01:00,0.26080000400543213,16.0,80.0,0,0
2019-09-04 21:00:00+01:00,0.2603999972343445,12.0,76.0,0,0
2019-09-04 22:00:00+01:00,0.26159998774528503,8.0,72.0,0,0
2019-09-04 23:00:00+01:00,0.258899986743927,4.0,68.0,0,0
2019-09-05 00:00:00+01:00,0.258899986743927,4.0,64.0,0,0
2019-09-05 01:00:00+01:00,0.25839999318122864,4.0,60.0,0,0
2019-09-05 02:00:00+01:00,0.25839999318122864,12.0,56.00000000000001,0,0
2019-09-05 03:00:00+01:00,0.25850000977516174,8.0,52.0,0,0
2019-09-05 04:00:00+01:00,0.2590999901294708,4.0,48.0,0,0
2019-09-05 05:00:00+01:00,0.258899986743927,72.0,44.0,0,0
2019-09-05 06:00:00+01:00,0.2587999999523163,68.0,40.0,0,0
2019-09-05 07:00:00+01:00,0.2587999999523163,64.0,36.0,0,0
2019-09-05 09:00:00+01:00,0.25769999623298645,60.0,100.0,0,0
2019-09-05 10:00:00+01:00,0.25699999928474426,56.00000000000001,100.0,0,0
2019-09-05 11:00:00+01:00,0.25780001282691956,52.0,96.0,0,0
2019-09-05 12:00:00+01:00,0.25589999556541443,48.0,100.0,0,0
2019-09-05 13:00:00+01:00,0.2565000057220459,44.0,96.0,0,0
2019-09-05 14:00:00+01:00,0.2558000087738037,40.0,100.0,0,0
2019-09-05 15:00:00+01:00,0.2554999887943268,36.0,100.0,0,0
2019-09-05 16:00:00+01:00,0.25609999895095825,32.0,96.0,0,0
2019-09-05 17:00:00+01:00,0.25519999861717224,28.000000000000004,100.0,0,0
2019-09-05 18:00:00+01:00,0.2549000084400177,24.0,100.0,0,0
2019-09-05 19:00:00+01:00,0.25589999556541443,20.0,96.0,0,0
2019-09-05 20:00:00+01:00,0.25519999861717224,16.0,92.0,0,0
2019-09-05 21:00:00+01:00,0.25459998846054077,12.0,100.0,0,0
2019-09-05 22:00:00+01:00,0.25540000200271606,8.0,96.0,0,0
2019-09-05 23:00:00+01:00,0.2563999891281128,4.0,92.0,0,0
2019-09-06 00:00:00+01:00,0.2565999925136566,24.0,88.0,0,0
2019-09-06 01:00:00+01:00,0.25589999556541443,20.0,84.0,0,0
2019-09-06 02:00:00+01:00,0.2558000087738037,16.0,80.0,0,0
