Date,Close,RSI,rsi_signal,rsi_position
2019-09-01,0.2580539882183075,,0,1
2019-09-02,0.2608200013637543,100.0,1,1
2019-09-03,0.263139009475708,100.0,0,1
2019-09-04,0.25990501046180725,91.6600273594537,0,1
2019-09-05,0.2563459873199463,83.41513318658549,0,1
2019-09-06,0.2523399889469147,75.21409255984764,0,1
2019-09-07,0.260686993598938,79.69386501390242,0,1
2019-09-08,0.2630839943885803,80.76879419279699,0,1
2019-09-09,0.2595619857311249,74.52615514181606,0,1
2019-09-10,0.25867098569869995,72.98922072330507,0,1
2019-09-11,0.2559559941291809,68.36283206118983,0,1
2019-09-12,0.25481098890304565,66.44989211947659,0,1
2019-09-13,0.2555510103702545,67.0908355173548,0,1
2019-09-14,0.2611669898033142,71.53511236703054,0,1
2019-09-15,0.26162800192832947,71.87093584468487,0,1
2019-09-16,0.2609519958496094,70.55643417620718,0,1
2019-09-17,0.28501299023628235,82.69105308478736,0,1
2019-09-18,0.3137759864330292,88.69116038550192,0,1
2019-09-19,0.3024410009384155,77.31664506450898,0,1
2019-09-20,0.29447001218795776,70.4720841998419,0,1
2019-09-21,0.2894429862499237,66.4752495775524,0,1
2019-09-22,0.27893099188804626,58.94660896934293,0,1
2019-09-23,0.2686749994754791,52.67810393294463,0,1
2019-09-24,0.23522600531578064,38.3530776464903,0,1
2019-09-25,0.24644100666046143,43.86496393547011,0,1
2019-09-26,0.24378399550914764,42.88662475163519,0,1
2019-09-27,0.2440209984779358,43.008727409758535,0,1
2019-09-28,0.24257099628448486,42.41132266832807,0,1
2019-09-29,0.2413879930973053,41.899961627944826,0,1
2019-09-30,0.2559329867362976,49.89847173408671,0,1
2019-10-01,0.2495650053024292,46.85702426788792,0,1
2019-10-02,0.25353899598121643,48.948307977978025,0,1
2019-10-03,0.24785999953746796,46.153201519232454,0,1
2019-10-04,0.2539350092411041,49.47682176020148,0,1
2019-10-05,0.2534570097923279,49.219395476735876,0,1
2019-10-06,0.2577050030231476,51.62810958579941,0,1
2019-10-07,0.27568501234054565,60.227392445304304,0,1
2019-10-08,0.27845901250839233,61.36846278833018,0,1
2019-10-09,0.28162699937820435,62.68511781373108,0,1
2019-10-10,0.27207300066947937,56.437890966313994,0,1
2019-10-11,0.2710990011692047,55.82705334881956,0,1
2019-10-12,0.27319100499153137,56.905903680458565,0,1
2019-10-13,0.2777650058269501,59.24936433092301,0,1
2019-10-14,0.29652300477027893,67.141031556596,0,1
2019-10-15,0.28870201110839844,61.76983634210978,0,1
2019-10-16,0.28464001417160034,59.12431429342719,0,1
2019-10-17,0.30231499671936035,65.95667768249179,0,1
2019-10-18,0.2950049936771393,61.38660831780669,0,1
2019-10-19,0.2930220067501068,60.168680679859925,0,1
2019-10-20,0.2941789925098419,60.659119421720625,0,1
2019-10-21,0.29297900199890137,59.83619765901763,0,1
2019-10-22,0.29160699248313904,58.853101952785885,0,1
2019-10-23,0.2741430103778839,48.03480942296768,0,1
2019-10-24,0.27849099040031433,50.47563756310637,0,1
2019-10-25,0.2981649935245514,59.6997104005041,0,1
2019-10-26,0.2936989963054657,57.099854784998946,0,1
2019-10-27,0.29809999465942383,58.99495315894893,0,1
2019-10-28,0.2960070073604584,57.6897687863099,0,1
2019-10-29,0.3019559979438782,60.373297872519636,0,1
2019-10-30,0.2965550124645233,56.848040577775386,0,1
2019-10-31,0.29635798931121826,56.7179351929655,0,1
2019-11-01,0.2926419973373413,54.19846656065891,0,1
2019-11-02,0.2962630093097687,56.23842520223071,0,1
2019-11-03,0.2912609875202179,52.74370598787762,0,1
2019-11-04,0.29993700981140137,57.65849816447659,0,1
2019-11-05,0.3012549877166748,58.366862669728384,0,1
2019-11-06,0.3100860118865967,62.85142734725767,0,1
2019-11-07,0.2924309968948364,51.01942132767098,0,1
2019-11-08,0.2769530117511749,43.319930493223495,0,1
2019-11-09,0.28019601106643677,45.1864458012203,0,1
2019-11-10,0.28020399808883667,45.191232917134705,0,1
2019-11-11,0.275085985660553,42.622460583457084,0,1
2019-11-12,0.27241799235343933,41.30439866685059,0,1
2019-11-13,0.27303600311279297,41.75372455090799,0,1
2019-11-14,0.27039098739624023,40.330712177340246,0,1
2019-11-15,0.26165398955345154,35.96986455270893,0,1
2019-11-16,0.2638860046863556,37.8195938075684,0,1
2019-11-17,0.2652530074119568,38.98221205023861,0,1
2019-11-18,0.2556529939174652,34.15277293206127,0,1
2019-11-19,0.2565000057220459,34.91887663158913,0,1
2019-11-20,0.25136399269104004,32.45323792190237,0,1
2019-11-21,0.24376599490642548,29.171623818055465,-1,0
2019-11-22,0.23160000145435333,24.840310547831066,0,0
2019-11-23,0.23618799448013306,29.114708705137247,0,0
2019-11-24,0.2231840044260025,24.808212801119794,0,0
2019-11-25,0.21862199902534485,23.495241159537642,0,0
2019-11-26,0.22214500606060028,26.720643616542702,0,0
2019-11-27,0.22508099675178528,29.39225716656712,0,0
2019-11-28,0.22457000613212585,29.1927721570313,0,0
2019-11-29,0.23021699488162994,34.48464165844797,0,0
2019-11-30,0.22647400200366974,32.738127420596754,0,0
2019-12-01,0.22533300518989563,32.20271430405268,0,0
2019-12-02,0.2195809930562973,29.576656428176847,0,0
2019-12-03,0.21987000107765198,29.88603563688089,0,0
2019-12-04,0.21634800732135773,28.256881830528584,0,0
2019-12-05,0.2229280024766922,35.347745370303755,0,0
2019-12-06,0.22550499439239502,37.934992175307606,0,0
2019-12-07,0.22844499349594116,40.84353347605783,0,0
2019-12-08,0.23043499886989594,42.79757851188822,0,0
2019-12-09,0.2254520058631897,39.29720256421986,0,0
2019-12-10,0.2243019938468933,38.51428839025458,0,0
2019-12-11,0.22205300629138947,36.96335460637845,0,0
2019-12-12,0.21985900402069092,35.46304097261009,0,0
2019-12-13,0.22075499594211578,36.59488523771157,0,0
2019-12-14,0.21735599637031555,34.148202149849155,0,0
2019-12-15,0.21860100328922272,35.84029817728643,0,0
2019-12-16,0.2072249948978424,28.607051323181423,0,0
2019-12-17,0.18369899690151215,19.736161317244907,0,0
2019-12-18,0.19617600739002228,31.81275396251708,0,0
2019-12-19,0.19081899523735046,29.743502039740164,0,0
2019-12-20,0.19531600177288055,33.64533889573519,0,0
2019-12-21,0.19408200681209564,33.10207311175064,0,0
2019-12-22,0.19697800278663635,35.72507309865959,0,0
2019-12-23,0.19094300270080566,32.835747126708156,0,0
2019-12-24,0.1921979933977127,34.03059845004107,0,0
2019-12-25,0.19071899354457855,33.27921595252282,0,0
2019-12-26,0.19039399921894073,33.10623685115158,0,0
2019-12-27,0.19110199809074402,33.91214157278037,0,0
2019-12-28,0.19322200119495392,36.383613509873165,0,0
2019-12-29,0.197051003575325,40.697241817478755,0,0
2019-12-30,0.194473996758461,38.7908271178894,0,0
2019-12-31,0.19289399683475494,37.62702676215761,0,0
2020-01-01,0.19266700744628906,37.45317812362722,0,0
2020-01-02,0.1880429983139038,34.00628084974528,0,0
2020-01-03,0.19352099299430847,40.940778264250895,0,0
2020-01-04,0.19435499608516693,41.94103710257338,0,0
2020-01-05,0.1955370008945465,43.404043905805935,0,0
2020-01-06,0.22150999307632446,64.54552945719851,0,0
2020-01-07,0.21391700208187103,57.75343799584575,0,0
2020-01-08,0.20902599394321442,53.82439569582323,0,0
2020-01-09,0.20489899814128876,50.69069555237348,0,0
2020-01-10,0.21230599284172058,55.67825222015356,0,0
2020-01-11,0.21185100078582764,55.308172964074544,0,0
2020-01-12,0.21563300490379333,57.81797485089929,0,0
2020-01-13,0.21261699497699738,55.15777933060763,0,0
2020-01-14,0.23468700051307678,67.09023484466043,0,0
