Date,Close,bollinger_upper_band,bollinger_lower_band,bollinger_signal,bb_position
2019-09-01,0.2580539882183075,,,0.0,1
2019-09-02,0.2608200013637543,,,0.0,1
2019-09-03,0.263139009475708,,,0.0,1
2019-09-04,0.25990501046180725,,,0.0,1
2019-09-05,0.2563459873199463,,,0.0,1
2019-09-06,0.2523399889469147,,,0.0,1
2019-09-07,0.260686993598938,,,0.0,1
2019-09-08,0.2630839943885803,,,0.0,1
2019-09-09,0.2595619857311249,,,0.0,1
2019-09-10,0.25867098569869995,,,0.0,1
2019-09-11,0.2559559941291809,,,0.0,1
2019-09-12,0.25481098890304565,,,0.0,1
2019-09-13,0.2555510103702545,,,0.0,1
2019-09-14,0.2611669898033142,,,0.0,1
2019-09-15,0.26162800192832947,,,0.0,1
2019-09-16,0.2609519958496094,,,0.0,1
2019-09-17,0.28501299023628235,,,0.0,1
2019-09-18,0.3137759864330292,,,0.0,1
2019-09-19,0.3024410009384155,,,0.0,1
2019-09-20,0.29447001218795776,0.28426322761211875,0.24957406398620127,-1.0,0
2019-09-21,0.2894429862499237,0.2863992156602971,0.2505769757411846,-1.0,0
2019-09-22,0.27893099188804626,0.2873544360855188,0.251432854368392,0.0,0
2019-09-23,0.2686749994754791,0.28757233198574184,0.2517685574681461,0.0,0
2019-09-24,0.23522600531578064,0.28783491656542987,0.2490380723738554,1.0,1
2019-09-25,0.24644100666046143,0.28778589539188165,0.24809659548145518,1.0,1
2019-09-26,0.24378399550914764,0.28779943493266347,0.24722745659689657,1.0,1
2019-09-27,0.2440209984779358,0.28759389448916384,0.245766397528296,1.0,1
2019-09-28,0.24257099628448486,0.2872459079853289,0.2440630842217214,1.0,1
2019-09-29,0.2413879930973053,0.28697998311626055,0.24251160982740777,1.0,1
2019-09-30,0.2559329867362976,0.2868908334099408,0.2423269596374873,0.0,1
2019-10-01,0.2495650053024292,0.2867470420746496,0.24183165209010338,0.0,1
2019-10-02,0.25353899598121643,0.28671347871086444,0.24173801616170557,0.0,1
2019-10-03,0.24785999953746796,0.2865497533140564,0.24113264047523497,0.0,1
2019-10-04,0.2539350092411041,0.28629032739585386,0.2406688683372165,0.0,1
2019-10-05,0.2534570097923279,0.28598960412966334,0.24015249238980685,0.0,1
2019-10-06,0.2577050030231476,0.285854539624826,0.23996285761199812,0.0,1
2019-10-07,0.27568501234054565,0.28500683255510806,0.23987776689214235,0.0,1
2019-10-08,0.27845901250839233,0.2801876191667047,0.241165282888082,0.0,1
2019-10-09,0.28162699937820435,0.27726648767896817,0.24200501421979742,-1.0,0
2019-10-10,0.27207300066947937,0.27444699012580004,0.2425848106211176,0.0,0
