Date,Close,bollinger_upper_band,bollinger_lower_band,bollinger_signal,bb_position
2015-11-30,12.039999961853027,,,0.0,1
2015-12-01,11.90999984741211,,,0.0,1
2015-12-02,11.930000305175781,,,0.0,1
2015-12-03,11.920000076293945,,,0.0,1
2015-12-04,12.039999961853027,,,0.0,1
2015-12-07,12.359999656677246,,,0.0,1
2015-12-08,12.119999885559082,,,0.0,1
2015-12-09,11.989999771118164,,,0.0,1
2015-12-10,12.050000190734863,,,0.0,1
2015-12-11,11.949999809265137,,,0.0,1
2015-12-14,12.329999923706055,,,0.0,1
2015-12-15,12.470000267028809,,,0.0,1
2015-12-16,12.270000457763672,,,0.0,1
2015-12-17,12.319999694824219,,,0.0,1
2015-12-18,12.34000015258789,,,0.0,1
2015-12-21,12.239999771118164,,,0.0,1
2015-12-22,12.460000038146973,,,0.0,1
2015-12-23,12.5,,,0.0,1
2015-12-24,12.600000381469727,,,0.0,1
2015-12-28,12.829999923706055,12.492044035645291,11.974955971984103,-1.0,0
2015-12-29,12.739999771118164,12.546145648124716,11.990854340431193,-1.0,0
2015-12-30,12.779999732971191,12.598532774430192,12.025467202681623,-1.0,0
2015-12-31,13.09000015258789,12.690525883079452,12.049474078773574,-1.0,0
2016-01-04,12.15999984741211,12.688999058497705,12.075000880467138,0.0,0
2016-01-05,11.510000228881836,12.712394109034188,11.998605856633537,1.0,1
2016-01-06,11.520000457763672,12.716309511985411,11.910690533790955,1.0,1
2016-01-07,11.15999984741211,12.742877426221034,11.788122615740635,1.0,1
2016-01-08,11.3100004196167,12.75181643986156,11.711183666949964,1.0,1
2016-01-11,11.84000015258789,12.747256876415463,11.694743226581362,0.0,1
2016-01-12,12.09000015258789,12.75138573240046,11.704614404928643,0.0,1
2016-01-13,11.609999656677246,12.732483222519871,11.65151688810635,1.0,1
2016-01-14,10.819999694824219,12.725911321541894,11.493088731863867,1.0,1
2016-01-15,10.270000457763672,12.748535425023732,11.27046462838203,1.0,1
2016-01-19,9.470000267028809,12.793902571847939,10.94009753877828,1.0,1
2016-01-20,9.489999771118164,12.784393113725208,10.664606958754039,1.0,1
2016-01-21,10.020000457763672,12.731233970905294,10.495766170238504,1.0,1
2016-01-22,9.850000381469727,12.648062010987335,10.31793816448874,1.0,1
2016-01-25,9.8100004196167,12.544828935984135,10.152171281453608,1.0,1
2016-01-26,9.539999961853027,12.418720391433581,9.972279784042492,1.0,1
2016-01-27,9.050000190734863,12.255631388936427,9.757368813242527,1.0,1
2016-01-28,8.739999771118164,12.083384738153988,9.529615464024968,1.0,1
2016-01-29,8.770000457763672,11.871470269271471,9.34053000538673,1.0,1
2016-02-01,8.760000228881836,11.575534956048255,9.203465326239343,1.0,1
2016-02-02,8.470000267028809,11.388124900238727,9.02187542401054,1.0,1
2016-02-03,8.430000305175781,11.25557867082554,8.846421661053123,1.0,1
