Date,Close,RSI,rsi_signal,rsi_position
2019-09-03,61.130001068115234,,0,1
2019-09-04,61.16999816894531,100.0,0,1
2019-09-05,63.02000045776367,100.0,0,1
2019-09-06,62.0,68.32967370262185,0,1
2019-09-09,61.470001220703125,58.04326938401719,0,1
2019-09-10,60.54999923706055,45.29610284522188,0,1
2019-09-11,59.20000076293945,33.62616925002489,1,1
2019-09-12,57.790000915527344,26.071114511106032,0,1
2019-09-13,58.290000915527344,31.913086745024287,0,1
2019-09-16,59.25,41.475519510035596,0,1
2019-09-17,59.599998474121094,44.534039360176806,0,1
2019-09-18,59.75,45.840400901445015,0,1
2019-09-19,59.029998779296875,40.865178627138796,0,1
2019-09-20,57.849998474121094,34.29561851324749,0,1
2019-09-23,56.7599983215332,29.567140848527103,0,1
2019-09-24,57.5,36.01683675745721,0,1
2019-09-25,58.5099983215332,43.60716379716308,0,1
2019-09-26,60.79999923706055,56.27323255621266,0,1
2019-09-27,60.75,55.97760519723868,0,1
2019-09-30,61.95000076293945,61.24049002338284,0,1
2019-10-01,61.630001068115234,59.20775160117656,0,1
2019-10-02,60.08000183105469,50.46926160360195,0,1
2019-10-03,62.04999923706055,58.79346645162741,0,1
2019-10-04,62.650001525878906,60.946260658726054,0,1
2019-10-07,62.25,58.74290170693343,0,1
2019-10-08,60.79999923706055,51.4776866015824,0,1
2019-10-09,62.220001220703125,57.076472852677455,0,1
2019-10-10,62.029998779296875,56.14299740848912,0,1
2019-10-11,61.540000915527344,53.703673603399835,0,1
2019-10-14,61.83000183105469,54.95119219451623,0,1
2019-10-15,64.29000091552734,63.8499544478813,0,1
2019-10-16,63.0,57.442050506057306,0,1
2019-10-17,63.400001525878906,58.82204234046559,0,1
2019-10-18,60.45000076293945,46.77556589507724,0,1
2019-10-21,61.150001525878906,49.42247239586544,0,1
2019-10-22,58.83000183105469,41.97232780111387,0,1
2019-10-23,58.36000061035156,40.635898935919144,0,1
2019-10-24,61.720001220703125,52.32321538653718,0,1
2019-10-25,62.88999938964844,55.601099757395374,0,1
2019-10-28,62.79999923706055,55.28621886544865,0,1
2019-10-29,62.40999984741211,53.86272176979094,0,1
2019-10-30,62.15999984741211,52.92205210809702,0,1
2019-10-31,61.43000030517578,50.1669734308119,0,1
2019-11-01,62.599998474121094,54.27556486375013,0,1
2019-11-04,62.380001068115234,53.38430096923003,0,1
2019-11-05,61.060001373291016,48.26324594146859,0,1
2019-11-06,61.34000015258789,49.37267079293014,0,1
2019-11-07,64.41000366210938,59.60160228553784,0,1
2019-11-08,62.45000076293945,52.331934464054186,0,1
2019-11-11,63.790000915527344,56.25991288059589,0,1
2019-11-12,61.540000915527344,48.963982916623245,0,1
2019-11-13,61.5099983215332,48.87296826987962,0,1
2019-11-14,62.9900016784668,53.46786840089349,0,1
2019-11-15,64.69999694824219,58.148005237684785,0,1
2019-11-18,65.73999786376953,60.73465996589348,0,1
2019-11-19,66.37000274658203,62.25646747117842,0,1
2019-11-20,67.16999816894531,64.15620089312245,0,1
2019-11-21,67.41999816894531,64.75324504400686,0,1
2019-11-22,67.75,65.56852921842437,0,1
2019-11-25,68.25,66.82078853525203,0,1
2019-11-26,68.94000244140625,68.52219635833737,0,1
2019-11-27,69.6500015258789,70.21472425184922,-1,0
2019-11-29,69.12000274658203,67.30545805367473,0,0
2019-12-02,66.87999725341797,56.626396507601285,0,0
2019-12-03,67.04000091552734,57.14940076909872,0,0
2019-12-04,67.77999877929688,59.57708700521561,0,0
2019-12-05,67.13999938964844,56.59090631388983,0,0
2019-12-06,67.9800033569336,59.462853526670195,0,0
2019-12-09,67.05999755859375,55.15855370145114,0,0
2019-12-10,65.83999633789062,49.990806113274985,0,0
2019-12-11,65.75,49.621482214738144,0,0
2019-12-12,65.86000061035156,50.106675359507975,0,0
2019-12-13,64.80000305175781,45.55377547253135,0,0
2019-12-16,66.52999877929688,53.05164296036237,0,0
2019-12-17,65.55000305175781,48.940153745220506,0,0
2019-12-18,65.13999938964844,47.28892222542687,0,0
2019-12-19,64.55000305175781,44.939211741072995,0,0
2019-12-20,63.630001068115234,41.478230167860765,0,0
2019-12-23,62.79999923706055,38.590669485668215,1,1
2019-12-24,63.959999084472656,44.414830850413644,0,1
2019-12-26,64.02999877929688,44.75532710626106,0,1
2019-12-27,63.79999923706055,43.805814623651735,0,1
2019-12-30,61.79999923706055,36.54519153148275,0,1
2019-12-31,62.560001373291016,40.575837920443114,0,1
2020-01-02,63.83000183105469,46.671782081368384,0,1
2020-01-03,63.0,43.52898520740563,0,1
2020-01-06,62.56999969482422,41.95283487500301,0,1
2020-01-07,64.58999633789062,50.939833590493755,0,1
2020-01-08,67.5999984741211,60.703057791703465,0,1
2020-01-09,67.93000030517578,61.605191641956274,0,1
2020-01-10,67.98999786376953,61.77699787966186,0,1
2020-01-13,68.66000366210938,63.72889479771269,0,1
