Date,Close,macd,signal,macd_signal,macd_position
2015-11-30,12.039999961853027,0.0,0.0,0,1
2015-12-01,11.90999984741211,-0.010370379499560656,-0.0020740758999121312,-1,0
2015-12-02,11.930000305175781,-0.016781661627760514,-0.005015593045481808,0,0
2015-12-03,11.920000076293945,-0.02241124096518554,-0.008494722629422555,0,0
2015-12-04,12.039999961853027,-0.016993840846314612,-0.010194546272800968,0,0
2015-12-07,12.359999656677246,0.012971264142725758,-0.005561384189695624,1,1
2015-12-08,12.119999885559082,0.017155096690038008,-0.0010180880137488973,0,1
2015-12-09,11.989999771118164,0.009867148996033137,0.0011589593882075097,0,1
2015-12-10,12.050000190734863,0.00883113058416285,0.002693393627398578,0,1
2015-12-11,11.949999809265137,-5.8442825393356657e-05,0.002143026336840191,-1,0
2015-12-14,12.329999923706055,0.023290857140475296,0.006372592497567212,1,1
2015-12-15,12.470000267028809,0.05248716390711117,0.015595506779476003,0,1
2015-12-16,12.270000457763672,0.05880921816857132,0.024238249057295068,0,1
2015-12-17,12.319999694824219,0.06708074719114343,0.03280674868406474,0,1
2015-12-18,12.34000015258789,0.07439231502540267,0.04112386195233233,0,1
2015-12-21,12.239999771118164,0.0712957372851406,0.04715823701889399,0,1
2015-12-22,12.460000038146973,0.08560703543070503,0.0548479967012562,0,1
2015-12-23,12.5,0.0990348923543305,0.06368537583187106,0,1
2015-12-24,12.600000381469727,0.11640392872393868,0.07422908641028458,0,1
2015-12-28,12.829999923706055,0.14703314943437462,0.08878989901510259,0,1
2015-12-29,12.739999771118164,0.16217531132945062,0.1034669814779722,0,1
2015-12-30,12.779999732971191,0.17538155693546997,0.11784989656947176,0,1
2015-12-31,13.09000015258789,0.20845905853997593,0.1359717289635726,0,1
2016-01-04,12.15999984741211,0.15781081968571975,0.14033954710800203,0,1
2016-01-05,11.510000228881836,0.06447891574694431,0.1251674208357905,-1,0
2016-01-06,11.520000457763672,-0.008581434217328265,0.09841764982516675,0,0
2016-01-07,11.15999984741211,-0.09444265243143057,0.059845589373847284,0,0
2016-01-08,11.3100004196167,-0.14867071048676728,0.018142329401724375,0,0
2016-01-11,11.84000015258789,-0.14718364666932438,-0.014922865812485375,0,0
2016-01-12,12.09000015258789,-0.12439824172210656,-0.03681794099440962,0,0
2016-01-13,11.609999656677246,-0.14341942279938458,-0.05813823735540461,0,0
2016-01-14,10.819999694824219,-0.21970758814678604,-0.09045210751368091,0,0
2016-01-15,10.270000457763672,-0.3208483110973379,-0.1365313482304123,0,0
2016-01-19,9.470000267028809,-0.4602509062756521,-0.20127525983946026,0,0
2016-01-20,9.489999771118164,-0.5626290371429814,-0.27354601530016454,0,0
2016-01-21,10.020000457763672,-0.5941488394616954,-0.3376665801324707,0,0
2016-01-22,9.850000381469727,-0.6256341739803002,-0.3952600989020366,0,0
2016-01-25,9.8100004196167,-0.6463633170816685,-0.445480742537963,0,0
2016-01-26,9.539999961853027,-0.6767766330415892,-0.49173992063868827,0,0
2016-01-27,9.050000190734863,-0.7319804761986273,-0.539788031750676,0,0
2016-01-28,8.739999771118164,-0.7916190708215876,-0.5901542395648584,0,0
2016-01-29,8.770000457763672,-0.8269299483485195,-0.6375093813215906,0,0
2016-02-01,8.760000228881836,-0.8459692017251683,-0.6792013454023063,0,0
2016-02-02,8.470000267028809,-0.874379221108537,-0.7182369205435525,0,0
2016-02-03,8.430000305175781,-0.8898642278831161,-0.7525623820114653,0,0
2016-02-04,8.899999618530273,-0.8543626300983593,-0.7729224316288441,0,0
