Date,Close,aroon_signal,macd_signal,rsi_signal,ao_signal,bollinger_signal
2015-11-30,12.039999961853027,0,0,0,0.0,0.0
2015-12-01,11.90999984741211,0,-1,0,0.0,0.0
2015-12-02,11.93000030517578,0,0,0,0.0,0.0
2015-12-03,11.920000076293944,0,0,0,0.0,0.0
2015-12-04,12.039999961853027,0,0,0,0.0,0.0
2015-12-07,12.359999656677246,0,1,0,0.0,0.0
2015-12-08,12.119999885559082,0,0,0,0.0,0.0
2015-12-09,11.989999771118164,0,0,0,0.0,0.0
2015-12-10,12.050000190734863,0,0,0,0.0,0.0
2015-12-11,11.949999809265137,0,-1,0,0.0,0.0
2015-12-14,12.329999923706056,0,1,0,0.0,0.0
2015-12-15,12.470000267028809,0,0,0,0.0,0.0
2015-12-16,12.270000457763672,0,0,1,0.0,0.0
2015-12-17,12.31999969482422,0,0,0,0.0,0.0
2015-12-18,12.34000015258789,0,0,0,0.0,0.0
2015-12-21,12.239999771118164,0,0,0,0.0,0.0
2015-12-22,12.460000038146973,0,0,0,0.0,0.0
2015-12-23,12.5,0,0,0,0.0,0.0
2015-12-24,12.600000381469728,0,0,0,0.0,0.0
2015-12-28,12.829999923706056,0,0,0,0.0,-1.0
2015-12-29,12.739999771118164,0,0,0,0.0,-1.0
2015-12-30,12.779999732971191,0,0,0,0.0,-1.0
2015-12-31,13.09000015258789,0,0,0,0.0,-1.0
2016-01-04,12.15999984741211,0,0,0,0.0,0.0
2016-01-05,11.510000228881836,0,-1,0,0.0,1.0
2016-01-06,11.520000457763672,0,0,0,0.0,1.0
2016-01-07,11.15999984741211,0,0,0,0.0,1.0
2016-01-08,11.3100004196167,0,0,0,0.0,1.0
2016-01-11,11.84000015258789,0,0,0,0.0,0.0
2016-01-12,12.09000015258789,0,0,0,0.0,0.0
2016-01-13,11.609999656677246,0,0,0,0.0,1.0
2016-01-14,10.81999969482422,0,0,0,0.0,1.0
2016-01-15,10.270000457763672,0,0,0,0.0,1.0
2016-01-19,9.470000267028809,0,0,0,0.0,1.0
2016-01-20,9.489999771118164,0,0,0,-1.0,1.0
2016-01-21,10.020000457763672,0,0,0,0.0,1.0
2016-01-22,9.850000381469728,0,0,0,0.0,1.0
2016-01-25,9.8100004196167,0,0,0,0.0,1.0
2016-01-26,9.539999961853027,0,0,0,0.0,1.0
2016-01-27,9.050000190734863,0,0,0,0.0,1.0
2016-01-28,8.739999771118164,-1,0,0,0.0,1.0
2016-01-29,8.770000457763672,0,0,0,0.0,1.0
2016-02-01,8.760000228881836,0,0,0,0.0,1.0
2016-02-02,8.470000267028809,0,0,0,0.0,1.0
2016-02-03,8.430000305175781,0,0,0,0.0,1.0
2016-02-04,8.899999618530273,0,0,0,0.0,0.0
2016-02-05,8.630000114440918,0,0,0,0.0,0.0
2016-02-08,8.369999885559082,0,0,0,0.0,1.0
2016-02-09,8.619999885559082,0,0,0,0.0,0.0
2016-02-10,8.880000114440918,0,1,0,0.0,0.0
2016-02-11,8.619999885559082,0,0,0,0.0,0.0
2016-02-12,9.300000190734863,0,0,0,0.0,0.0
2016-02-16,9.93000030517578,0,0,0,0.0,-1.0
2016-02-17,9.84000015258789,0,0,0,0.0,-1.0
2016-02-18,9.979999542236328,0,0,0,0.0,-1.0
2016-02-19,9.970000267028809,0,0,0,0.0,-1.0
2016-02-22,10.380000114440918,0,0,0,0.0,-1.0
2016-02-23,9.710000038146973,0,0,0,1.0,0.0
2016-02-24,9.890000343322754,0,0,0,0.0,-1.0
2016-02-25,10.260000228881836,0,0,0,0.0,-1.0
2016-02-26,10.31999969482422,0,0,0,0.0,-1.0
2016-02-29,10.4399995803833,0,0,0,0.0,-1.0
2016-03-01,10.720000267028809,0,0,0,0.0,-1.0
2016-03-02,11.970000267028809,0,0,-1,0.0,-1.0
2016-03-03,12.25,0,0,0,0.0,-1.0
2016-03-04,12.010000228881836,1,0,0,0.0,-1.0
