Date,Close,trend_aroon_up,trend_aroon_down,aroon_signal,aroon_position,macd,signal,macd_signal,macd_position,RSI,rsi_signal,rsi_position
2019-09-03,61.130001068115234,0.0,0.0,0,1,0.0,0.0,0,1,0.0,0,1
2019-09-04,61.16999816894531,0.0,0.0,0,1,0.0031906519180679,0.0006381303836135,1,1,100.0,0,1
2019-09-05,63.02000045776367,0.0,0.0,0,1,0.1532326198858982,0.0311570282840705,0,1,100.0,0,1
2019-09-06,62.0,0.0,0.0,0,1,0.1876730697270048,0.0624602365726573,0,1,68.32967370262185,0,1
2019-09-09,61.470001220703125,0.0,0.0,0,1,0.1702384988070164,0.0840158890195292,0,1,58.04326938401719,0,1
2019-09-10,60.54999923706055,0.0,0.0,0,1,0.0812484231938697,0.0834623958543973,-1,0,45.29610284522188,0,1
2019-09-11,59.20000076293945,0.0,0.0,0,1,-0.0970912399451222,0.0473516686944933,0,0,33.62616925002489,0,1
2019-09-12,57.790000915527344,0.0,0.0,0,1,-0.3481882146772577,-0.0317563079798568,0,0,26.071114511106032,1,1
2019-09-13,58.290000915527344,0.0,0.0,0,1,-0.5010626169354566,-0.1256175697709768,0,0,31.913086745024287,0,1
2019-09-16,59.25,0.0,0.0,0,1,-0.5385447701777011,-0.2082030098523216,0,0,41.4755195100356,0,1
2019-09-17,59.59999847412109,0.0,0.0,0,1,-0.5338537610196283,-0.273333160085783,0,0,44.534039360176806,0,1
2019-09-18,59.75,0.0,0.0,0,1,-0.5121287317114849,-0.3210922744109233,0,0,45.840400901445015,0,1
2019-09-19,59.02999877929688,0.0,0.0,0,1,-0.5467074673043655,-0.3662153129896118,0,0,40.8651786271388,0,1
2019-09-20,57.84999847412109,0.0,0.0,0,1,-0.6616998632124762,-0.4253122230341847,0,0,34.29561851324749,0,1
2019-09-23,56.7599983215332,0.0,0.0,0,1,-0.8312044606322573,-0.5064906705537993,0,0,29.567140848527103,0,1
2019-09-24,57.5,0.0,0.0,0,1,-0.8955033194665631,-0.5842932003363521,0,0,36.01683675745721,0,1
2019-09-25,58.5099983215332,0.0,0.0,0,1,-0.8551050855595435,-0.6384555773809903,0,0,43.60716379716308,0,1
2019-09-26,60.79999923706055,0.0,0.0,0,1,-0.6310311245867908,-0.6369706868221505,1,1,56.27323255621266,0,1
2019-09-27,60.75,0.0,0.0,0,1,-0.452271907697451,-0.6000309309972107,0,1,55.97760519723868,0,1
2019-09-30,61.95000076293945,0.0,0.0,0,1,-0.2113377377895844,-0.5222922923556854,0,1,61.24049002338284,0,1
2019-10-01,61.630001068115234,0.0,0.0,0,1,-0.0456902841692326,-0.4269718907183948,0,1,59.20775160117656,0,1
2019-10-02,60.08000183105469,0.0,0.0,0,1,-0.0390354914496384,-0.3493846108646436,0,1,50.46926160360195,0,1
2019-10-03,62.04999923706055,0.0,0.0,0,1,0.123774016618313,-0.2547528853680523,0,1,58.79346645162741,0,1
2019-10-04,62.650001525878906,0.0,0.0,0,1,0.2977842238522896,-0.1442454635239839,0,1,60.94626065872605,0,1
2019-10-07,62.25,12.0,60.0,0,1,0.3988145012577746,-0.0356334705676322,0,1,58.74290170693343,0,1
2019-10-08,60.79999923706055,8.0,56.00000000000001,0,1,0.3577548058708117,0.0430441847200565,0,1,51.4776866015824,0,1
2019-10-09,62.220001220703125,4.0,52.0,0,1,0.434785062529194,0.121392360281884,0,1,57.076472852677455,0,1
2019-10-10,62.02999877929688,84.0,48.0,0,1,0.4750246977758152,0.1921188277806703,0,1,56.14299740848912,0,1
2019-10-11,61.540000915527344,80.0,44.0,0,1,0.4620499419814265,0.2461050506208215,0,1,53.70367360339984,0,1
2019-10-14,61.83000183105469,76.0,40.0,0,1,0.469752984783085,0.2908346374532742,0,1,54.95119219451623,0,1
2019-10-15,64.29000091552734,100.0,36.0,0,1,0.6666740651151599,0.3660025229856514,0,1,63.8499544478813,0,1
2019-10-16,63.0,96.0,32.0,0,1,0.7104534816282566,0.4348927147141724,0,1,57.442050506057306,0,1
2019-10-17,63.400001525878906,92.0,28.000000000000004,1,1,0.7685662119393584,0.5016274141592096,0,1,58.82204234046559,0,1
2019-10-18,60.45000076293945,88.0,24.0,0,1,0.5700098433510092,0.5153038999975696,0,1,46.77556589507724,0,1
2019-10-21,61.150001525878906,84.0,20.0,0,1,0.4637904149382024,0.5050012029856963,-1,0,49.42247239586544,0,1
2019-10-22,58.83000183105469,80.0,16.0,0,1,0.1902135034614076,0.4420436630808386,0,0,41.97232780111387,0,1
2019-10-23,58.36000061035156,76.0,12.0,0,1,-0.0637880317227868,0.3408773241201135,0,0,40.63589893591914,0,1
2019-10-24,61.720001220703125,72.0,8.0,0,1,0.005969082354376,0.273895675766966,0,0,52.32321538653718,0,1
2019-10-25,62.88999938964844,68.0,4.0,0,1,0.1538872554947516,0.2498939917125232,0,0,55.601099757395374,0,1
2019-10-28,62.79999923706055,64.0,4.0,0,1,0.2608443618171563,0.2520840657334498,1,1,55.28621886544865,0,1
2019-10-29,62.40999984741211,60.0,84.0,0,1,0.3105590167494512,0.2637790559366501,0,1,53.86272176979094,0,1
2019-10-30,62.15999984741211,56.00000000000001,80.0,0,1,0.3260270909357317,0.2762286629364664,0,1,52.92205210809702,0,1
2019-10-31,61.43000030517578,52.0,76.0,0,1,0.2761969623171154,0.2762223228125962,-1,0,50.1669734308119,0,1
2019-11-01,62.59999847412109,48.0,72.0,0,1,0.32734190679313,0.2864462396087029,1,1,54.27556486375013,0,1
2019-11-04,62.380001068115234,44.0,68.0,0,1,0.3461326895155423,0.2983835295900708,0,1,53.38430096923003,0,1
2019-11-05,61.060001373291016,40.0,64.0,0,1,0.2516111597022217,0.289029055612501,-1,0,48.26324594146859,0,1
2019-11-06,61.34000015258789,36.0,60.0,0,1,0.1970245513912303,0.2706281547682469,0,0,49.37267079293014,0,1
2019-11-07,64.41000366210938,100.0,56.00000000000001,0,1,0.3969125365066475,0.295885031115927,1,1,59.60160228553784,0,1
2019-11-08,62.45000076293945,96.0,52.0,0,1,0.3926432048370003,0.3152366658601417,0,1,52.331934464054186,0,1
2019-11-11,63.790000915527344,92.0,48.0,0,1,0.4917183194921577,0.350532996586545,0,1,56.25991288059589,0,1
2019-11-12,61.540000915527344,88.0,44.0,0,1,0.3842504655098295,0.3572764903712019,0,1,48.963982916623245,0,1
2019-11-13,61.5099983215332,84.0,40.0,0,1,0.2932797124072195,0.3444771347784054,-1,0,48.87296826987962,0,1
2019-11-14,62.9900016784668,80.0,36.0,0,1,0.3367270572542011,0.3429271192735645,0,0,53.46786840089349,0,1
2019-11-15,64.69999694824219,100.0,32.0,0,1,0.5033395334867166,0.375009602116195,1,1,58.14800523768479,0,1
2019-11-18,65.73999786376953,100.0,28.000000000000004,0,1,0.7111033467766461,0.4422283510482852,0,1,60.73465996589348,0,1
2019-11-19,66.37000274658203,100.0,24.0,0,1,0.916034321096788,0.5369895450579858,0,1,62.25646747117842,0,1
2019-11-20,67.16999816894531,100.0,20.0,0,1,1.1299709378484266,0.655585823616074,0,1,64.15620089312245,0,1
2019-11-21,67.41999816894531,100.0,16.0,0,1,1.304650954530203,0.7853988497988997,0,1,64.75324504400686,0,1
2019-11-22,67.75,100.0,12.0,0,1,1.452965632703716,0.918912206379863,0,1,65.56852921842437,0,1
2019-11-25,68.25,100.0,8.0,0,1,1.5924946183643982,1.05362868877677,0,1,66.82078853525203,0,1
2019-11-26,68.94000244140625,100.0,4.0,0,1,1.738707042702316,1.1906443595618794,0,1,68.52219635833737,0,1
2019-11-27,69.6500015258789,100.0,36.0,0,1,1.8900847147460524,1.330532430598714,0,1,70.21472425184922,-1,0
2019-11-29,69.12000274658203,96.0,32.0,0,1,1.9448669231014009,1.4533993290992515,0,1,67.30545805367473,0,0
