Date,0
2019-09-02,101071.87382165426
2019-09-03,101970.52612614486
2019-09-04,100717.30038209437
2019-09-05,99338.12265016563
2019-09-06,97785.7349499443
2019-09-07,101020.33121007336
2019-09-08,101949.20691015151
2019-09-09,103314.0409442126
2019-09-10,102959.39419741738
2019-09-11,101878.7399968942
2019-09-12,101422.99099158023
2019-09-13,101717.54340050662
2019-09-14,103952.88432477438
2019-09-15,104136.38201772599
2019-09-16,104405.45423759938
2019-09-17,114032.1253813475
2019-09-18,125540.04151503513
2019-09-19,121004.97633766904
2019-09-20,117815.82770324372
2019-09-21,115804.54235240427
2019-09-22,111598.75138797182
2019-09-23,107495.385391459
2019-09-24,94112.62731879504
2019-09-25,98599.68749955525
2019-09-26,97536.63199287439
2019-09-27,97631.4555734775
2019-09-28,97051.3176934821
2019-09-29,96578.0046432413
2019-09-30,102397.37637411381
2019-10-01,99849.58212553947
2019-10-02,101439.55387725536
2019-10-03,99167.41872307558
2019-10-04,101597.99659829329
2019-10-05,101406.75165528253
2019-10-06,103106.35031678338
2019-10-07,110300.05287447937
2019-10-08,109190.19070754609
2019-10-09,110432.43130646854
2019-10-10,114178.77419416331
2019-10-11,113770.02334886286
2019-10-12,114647.9584304586
2019-10-13,116567.49402298745
2019-10-14,124439.51851793747
2019-10-15,127721.69450414884
2019-10-16,125924.66811750644
2019-10-17,133744.07579209848
2019-10-18,130510.13235056009
2019-10-19,129632.8594506319
2019-10-20,130144.70964933056
2019-10-21,129613.83415990182
2019-10-22,129006.85750755288
2019-10-23,121280.79637375697
2019-10-24,123204.34160298118
2019-10-25,131908.11545983874
2019-10-26,129932.35945355905
2019-10-27,131879.35997883923
2019-10-28,132805.2970146542
2019-10-29,135474.34687402582
2019-10-30,133051.16275026588
2019-10-31,132962.76714562537
2019-11-01,131295.56533781873
2019-11-02,132920.15380543645
2019-11-03,130675.96710405161
2019-11-04,134568.51589051756
2019-11-05,135159.83448371373
2019-11-06,139121.92578110623
2019-11-07,147042.95282261708
2019-11-08,139260.16418722816
2019-11-09,140890.84014285987
2019-11-10,140894.8562539097
2019-11-11,138321.36825835254
2019-11-12,136979.8223273305
2019-11-13,137290.5764125556
2019-11-14,135960.58429354633
2019-11-15,131567.36341323558
2019-11-16,132689.68662579506
2019-11-17,133377.05602036457
2019-11-18,128549.88534982635
2019-11-19,128975.78793246517
2019-11-20,126393.24870155683
2019-11-21,122572.75073228304
2019-11-22,116455.32945954213
2019-11-23,118762.30802612286
2019-11-24,112223.51728116318
2019-11-25,109929.60606098337
2019-11-26,111701.07817843849
2019-11-27,113177.38111922014
2019-11-28,112920.43992496502
2019-11-29,115759.91285738398
2019-11-30,113877.82535293514
2019-12-01,113304.09841413569
2019-12-02,110411.8166185093
2019-12-03,110557.1383980082
2019-12-04,108786.17578717881
2019-12-05,112094.79193072274
2019-12-06,110799.00419033752
2019-12-07,112243.53526988678
2019-12-08,113221.29904120238
2019-12-09,110772.96895202593
2019-12-10,110207.92520851201
2019-12-11,109102.91384387371
2019-12-12,108024.91879795586
2019-12-13,108465.15300617792
2019-12-14,106795.09789802575
2019-12-15,107406.81617591434
2019-12-16,101817.35947752927
2019-12-17,90258.1602784131
2019-12-18,96388.58032132252
2019-12-19,93756.4806928826
2019-12-20,95966.02752494592
2019-12-21,95359.71983229698
2019-12-22,96782.63053537434
2019-12-23,93817.41017916748
2019-12-24,94434.0338591002
2019-12-25,93707.34613599027
2019-12-26,93547.66431721192
2019-12-27,93895.53053709344
2019-12-28,94937.16703592037
2019-12-29,96818.49854226087
2019-12-30,95552.31909523984
2019-12-31,94776.00627503319
2020-01-01,94664.47793273833
2020-01-02,92392.52999377692
2020-01-03,95084.0728448973
2020-01-04,95493.84963147255
2020-01-05,96074.6126260143
2020-01-06,108836.11122314454
2020-01-07,112566.83055057426
2020-01-08,109993.09737832774
2020-01-09,112164.79402981926
2020-01-10,116219.49435773893
2020-01-11,115970.42486156091
2020-01-12,118040.75081122239
2020-01-13,116389.74160522473
2020-01-14,128471.19465110221
2020-01-15,127490.22758026727
2020-01-16,125124.84229295755
2020-01-17,130709.57358302156
2020-01-18,133178.41562083978
2020-01-19,128962.77531913375
2020-01-20,127709.74383138564
2020-01-21,129828.23757350573
2020-01-22,129220.60556198418
2020-01-23,123772.73442803716
2020-01-24,122095.99766616915
2020-01-25,120665.05939543675
2020-01-26,126280.98351164164
2020-01-27,126574.40326820874
2020-01-28,130551.92092851736
2020-01-29,129042.15225197286
2020-01-30,133373.2973701419
2020-01-31,135786.85044991024
2020-02-01,137048.04179856824
2020-02-02,142314.73106319027
2020-02-03,144524.36171719318
2020-02-04,151438.21343482155
2020-02-05,157488.7450142829
2020-02-06,160182.53322054428
2020-02-07,158519.49550156092
2020-02-08,157361.03243236858
2020-02-09,160320.46280901172
2020-02-10,155565.74875770227
2020-02-11,159005.9197407037
2020-02-12,172771.17087762567
2020-02-13,185435.86095434768
2020-02-14,190042.44532621026
2020-02-15,173817.24687473333
2020-02-16,167459.07175523552
2020-02-17,162656.11448755255
2020-02-18,169093.18384308333
2020-02-19,157564.7974339235
2020-02-20,154609.91734662268
2020-02-21,156052.73121077922
2020-02-22,156599.32414579875
2020-02-23,160464.63424419792
2020-02-24,153605.8427191697
2020-02-25,143834.74760600334
2020-02-26,131029.28612442157
2020-02-27,134585.252667621
2020-02-28,134119.82911330555
2020-02-29,131223.40924893133
2020-03-01,129891.26552612243
2020-03-02,135510.99973076218
2020-03-03,133032.8935477721
2020-03-04,133117.46295880267
2020-03-05,135984.94027646753
